Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
3,57,30,A.E.K. F.C.,50,350,1/7.0,31,1554,1123,451,558,66,0,0,2018-2019
10,34,30,A.E.L. F.C.,26,232,1/8.9,13,1125,1153,490,533,97,1,6,2018-2019
16,10,30,APOLLON SMYRNI,11,230,1/20.9,6,1159,1170,466,455,74,1,3,2018-2019
5,49,30,ARIS F.C.,46,309,1/6.7,24,1380,1293,552,454,67,2,2,2018-2019
11,33,30,ASTERAS TRIPOLI F.C.,25,306,1/12.2,13,1891,1193,415,462,82,3,5,2018-2019
4,52,30,ATROMITOS F.C. ATHENS,41,269,1/6.6,28,1367,1311,461,509,83,0,3,2018-2019
7,37,30,PAS LAMIA 1964 F.C.,28,256,1/9.1,12,1432,1160,522,470,83,0,3,2018-2019
15,21,30,LEVADIAKOS F.C.,15,216,1/14.4,9,1226,1162,465,509,86,2,6,2018-2019
12,32,30,XANTHI F.C.,22,214,1/9.7,10,1075,1167,418,517,92,2,4,2018-2019
2,75,30,OLYMPIACOS F.C.,71,444,1/6.3,44,2215,1338,415,388,57,0,1,2018-2019
13,32,30,O.F.I. F.C.,30,268,1/8.9,15,1128,1162,491,522,96,2,4,2018-2019
8,36,30,PANATHINAIKOS F.C.,38,263,1/6.9,20,1431,1235,457,463,80,0,3,2018-2019
9,36,30,PANETOLIKOS F.C,34,202,1/5.9,22,1115,1165,528,487,84,1,2,2018-2019
6,38,30,PANIONIOS F.C.,27,280,1/10.4,17,1203,1291,411,439,77,1,3,2018-2019
1,80,30,P.A.O.K. F.C.,66,349,1/5.3,41,1324,1138,458,434,67,1,4,2018-2019
14,27,30,PAS GIANNINA 1966 F.C.,19,237,1/12.5,12,1007,1143,452,530,99,0,6,2018-2019
