Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
3,51,26,A.E.K. F.C.,42,310,1/7.4,25,1256,1008,366,491,75,2,7,2019-2020
8,30,26,A.E.L. F.C.,28,217,1/7.8,18,1047,1048,426,426,89,1,3,2019-2020
6,34,26,ARIS F.C.,38,289,1/7.6,25,1319,1133,427,364,56,2,3,2019-2020
9,30,26,ASTERAS TRIPOLI F.C.,33,249,1/7.5,19,1354,990,384,418,79,2,6,2019-2020
7,32,26,ATROMITOS F.C. ATHENS,31,210,1/6.8,18,1268,1067,389,407,74,1,1,2019-2020
11,27,26,VOLOS N.F.C.,23,208,1/9.0,11,1003,994,349,393,75,3,5,2019-2020
10,27,26,PAS LAMIA 1964 F.C.,19,198,1/10.4,11,931,978,363,418,67,1,4,2019-2020
12,18,26,XANTHI F.C.,21,163,1/7.8,14,1091,1130,358,418,81,0,5,2019-2020
1,66,26,OLYMPIACOS F.C.,53,355,1/6.7,35,2010,1121,333,408,51,1,3,2019-2020
5,34,26,O.F.I. F.C.,35,290,1/8.3,24,1396,1076,429,362,71,0,0,2019-2020
4,44,26,PANATHINAIKOS F.C.,35,246,1/7.0,15,1533,1036,370,412,76,1,3,2019-2020
13,17,26,PANETOLIKOS F.C,20,190,1/9.5,7,1189,1045,423,368,72,2,7,2019-2020
14,11,26,PANIONIOS F.C.,16,188,1/11.8,9,995,1171,378,371,78,1,6,2019-2020
2,59,26,P.A.O.K. F.C.,50,311,1/6.2,29,1461,1122,400,414,52,0,1,2019-2020
