Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
3,48,26,A.E.K. F.C.,41,261,1/6.4,27,1499,1094,428,497,66,3,4,2020-2021
14,16,26,A.E.L. F.C.,18,195,1/10.8,12,1198,1127,455,467,87,0,0,2020-2021
9,28,26,APOLLON SMYRNI,26,187,1/7.2,15,1274,1081,474,489,80,0,1,2020-2021
2,51,26,ARIS F.C.,34,251,1/7.4,18,1676,1214,512,462,64,1,2,2020-2021
6,42,26,ASTERAS TRIPOLI F.C.,27,223,1/8.3,17,1527,1033,429,458,64,0,1,2020-2021
10,28,26,ATROMITOS F.C. ATHENS,24,205,1/8.5,9,1451,1145,484,430,63,2,4,2020-2021
7,33,26,VOLOS N.F.C.,26,213,1/8.2,18,1254,1054,422,536,78,4,6,2020-2021
11,23,26,PAS LAMIA 1964 F.C.,14,175,1/12.5,6,1164,1024,452,485,59,1,4,2020-2021
1,67,26,OLYMPIACOS F.C.,64,318,1/5.0,48,2220,1290,372,420,49,0,1,2020-2021
13,19,26,O.F.I. F.C.,22,222,1/10.1,11,1304,1119,494,456,67,2,5,2020-2021
5,45,26,PANATHINAIKOS F.C.,30,194,1/6.5,17,1301,1191,425,497,75,1,3,2020-2021
12,20,26,PANETOLIKOS F.C,13,124,1/9.5,5,1140,965,506,456,51,2,3,2020-2021
4,47,26,P.A.O.K. F.C.,49,358,1/7.3,30,2117,1284,382,438,67,1,1,2020-2021
8,31,26,Car.gr PAS GIANNINA,23,220,1/9.6,14,1145,1189,459,506,75,1,3,2020-2021
